Indice_limpio,Indice_original,Digito,Hash
0,0,0,58f4675670d2724cb2f65396a80e7a45
1,1,0,71a51d8d4edc230e34ca076941ae10ce
2,2,0,222390e188740bc548b2f4bd5ce10581
3,3,0,c74f2897d43d0489b26d60ee3b9f64e4
4,4,0,34ab233aa8d353677e356863ff495679
5,5,0,2b7ed43198a856133bd9fc2e0e29795e
6,6,0,e2d911f9d9b9b67d5be0ee1778db0ee5
7,7,0,dc31fbad61e6268204a18a03d304e340
8,8,0,fc0e5000a55bbb905ae8193a0073d7e2
9,9,0,3b5a719aae63ab5c2b19af1a8a8d3dd5
10,12,0,41ff71aa35d1b44673c9b7f919887f4a
11,13,0,08070f4758cf414002d9e69c264d9a4d
12,15,0,6fce85c920aba78af41b41d2efb5978e
13,16,0,32a7176b07017f1a80d366b6ec66d497
14,17,0,2ea2b3066779ab71b7e2470f7ad61c43
15,18,0,34e33eace7aaf0877591b030573cd169
16,19,0,a1e9f8b4de680ab4a223302505b6d650
17,20,0,8c5a54f7f51127cafacc540e70622b0c
18,22,0,c9d44147113dbad25e33d1a4563890eb
19,23,0,261a47a6b45baaeffee4f4c7f9e77c9c
20,24,0,4758f7ef3f351df0cc6b8d9454504ec0
21,25,0,b9ca34ce65872ddabae4c7d65b998aee
22,26,0,4e2ebf25b680922f7d40379b92e5b35c
23,27,0,703c3b8e9df00fd510c7828133805c39
24,28,0,38c99bd1b699f23fceb3cb6ce847263c
25,29,0,b0ba7049c78a398e32a94ee1e974f9a8
26,30,0,9f0645f76c1d4777f0466f2c6199e133
27,31,0,96a4efbaef2d7545b0a83ce2c69ede40
28,33,0,15e57647124786570962171b26ae9e76
29,34,0,72786b9472b487038b61760061fa4e6c
30,36,0,fc642e6166d118eba9386019cf0b9682
31,38,0,a4dbcaf86e4aa39355113c75e873ebec
32,40,0,accc55ff9d8551af8df31b29e1286b39
33,41,0,1da420da72a2e029f804fbfacf43c204
34,42,0,0d73d3f623376f049379d9e556cdc4d0
35,43,0,870deb649f7187c8c5f29e3ccb081684
36,44,0,28fafb69a96f3fd2e32b82b202dde584
37,45,0,bddaa081dd33ecf14a8c24f8bc07ec51
38,46,0,83360e00744f49ff1c8e210f8f5e8854
39,47,0,42bdfb84fb81c7c93f4c4309ac6d8b32
40,48,0,41761143cedc24a1ac2f7aa8d046ca7d
41,50,0,d0c9f080fe7d6aa1c11e5967cff5731b
42,52,0,b28302e8e612dd8f337f976d2a9983f1
43,53,0,088497d3ba5d92d881816857af407442
44,54,0,5cede48053d89eedfd35144d44a87645
45,55,0,12129e8637637792110ae808e6c04125
46,56,0,1182212983840132879315fa23f01a61
47,57,0,3449fc7cc6e3a48ab34377293e128196
48,58,0,a1d417361bbfc6c3b8622143613df94a
49,59,0,80ff2d4fb5cda2745ead19210dd580cb
50,60,0,90bcc926f958d8ca55a2fd7249a68725
51,61,0,6ce5cdd0f44ed9d8369f4d4931f9a9ce
52,64,0,29893e7240ef1aba2f49e06cd55f8c28
53,67,0,9063b550cd072de21918b0f9bceff4cc
54,68,0,adda050c502ee4d281106deb73783e52
55,69,0,0c440f9aba0be23b141bb68010b0a35b
56,70,0,a700f98fbc9a75d36d2ea61222c0279b
57,71,0,74e4d8943c8b732efa40b855f0e212cc
58,72,0,338db029e204c65d83b894e179552cb4
59,73,0,00b6f4a001cab49d219e4c60e1da9ca3
60,74,0,ae2b3f8e1936574770ec53143a2738ea
61,75,0,de8baa6eeaee5e9b95b4d9cc22eadf91
62,76,0,168bb94930d27b9f8ab3d1597e42dbc7
63,80,0,878736386046696ae4e2f2ee8d97a699
64,82,0,65917a1c6bf097fcaf7b8755ab57a49f
65,84,0,8f904a27b8eae9623f425f4290743651
66,85,0,609ec84db6f98779a68dab592145f045
67,86,0,c1493224989cebb688446689175adc02
68,87,0,e2676aae4d34d3226477f602de70fc44
69,88,0,a16c175513082c03da970f8099771f26
70,89,0,42aca7e657aeb00cbb42d4cbad18c1c7
71,90,0,217d7486dedc08671ed7ca21829bc37c
72,91,0,927289ba1419fa9c17e20d2918276137
73,93,0,362cf60ee1f2779ac3b454ac1d21a772
74,94,0,db95125c9b8fcb7e1d9343671b1d8f0b
75,95,0,63a02d13fc571079a99c77988079e51e
76,97,0,cb0d1f203624b831d381910ce2395fd6
77,99,0,7808fe6a7f83533e8f2615f2eff34318
78,101,0,c9cf4878aaa0c4798568ba7a4d575bc7
79,103,0,2891fc54c9223f4d86cb90f7377c020e
80,104,0,b93b7c4267822d4281cddee981f12df2
81,105,0,87c0d1c684351632023e49d39ab17457
82,106,0,4d1bca96602cbc342749aaf18e98e655
83,107,0,f4638b8b624688c695a900c232271c74
84,108,0,bd6541db92d8d82da5d8f2f860cd441c
85,109,0,9f96a1e8d5b3cead1b1118c7a918a790
86,110,0,1b65f4a58c15fdeea97d1efadb369e67
87,112,0,78d03911a1536a24975ea2cc98ea13b6
88,113,0,487c0101135da2dff5bc60731a86be49
89,114,0,c805486c0b7abed9ed1f22af4392c356
90,116,0,f626428815a79d16a77bd2bf96f8527c
91,118,0,3f848bc1557f6ba2f3bc0a19d08d3ab5
92,120,0,abb5f9392de5f904a46ec46d61bd7f26
93,122,0,bf136e9c2c9c4089dd49d47a28875a35
94,123,0,36e101c9f423b9558785da74d2b63f77
95,124,0,f9f224f527df868cd2050725b3240f38
96,126,0,822d1c1c692048fffafdfeef270100da
