Indice_combinado,Indice_temporal,Indice_origen,Digito,Origen,Hash
0,0,0,9,v1,85d3acabf4e2c896536c848ae7bc921f
1,1,1,9,v1,24831a4bad6dd5470f062b28bc068f8b
2,2,2,9,v1,792c673a23a487bdf72c446fa23c5bcf
3,3,3,9,v1,6eeb354d26dfc9a9463f67d3a9bd60bc
4,4,4,9,v1,07d0d80dc31f487ee8e2874e8f0f81c2
5,5,5,9,v1,d0e9a2e51d4dfe843c46f2457ddeeffb
6,6,6,9,v1,db8bf1b3cbb079b6b560fbe68f0b610e
7,7,7,9,v1,f1160c0bfecab7d649c9ab15f55c4669
8,8,8,9,v1,3390bcf62992b3c3b8e1cf9c36ae08d7
9,9,9,9,v1,6d872d03923d496bb4fcf2b2a16d84ed
10,10,10,9,v1,1ae9c0164dd36752271f869371b2ff2f
11,11,11,9,v1,e3f969017325dc600ff2894d1d96cbb7
12,12,12,9,v1,e5ce29bf1697a3f22e82d128a04d00c7
13,13,13,9,v1,7592ada3211b64ece7b3b19f3edeca73
14,14,14,9,v1,09ed4f8bc405f591cb35cf19129c15ef
15,15,15,9,v1,5c5a368012ff6c294340a7c764051ee8
16,16,16,9,v1,2d147b389ceda2a2d95f517ff9014c46
17,17,17,9,v1,b42c60becd829a41efda95ccc55c7571
18,18,18,9,v1,b75b390bab826afc3d62c074759b72e3
19,19,19,9,v1,46acfb6ec5eee2051307fb80a67e70ac
20,20,20,9,v1,28a31623fbde256eb99753c5d7af7f13
21,21,21,9,v1,da2e74001bb15ecaa0b59a6e4632fc13
22,22,22,9,v1,2af9fc4dba2368d392a13a9d0638e8bb
23,23,23,9,v1,e4c4d18d9bd61eeb0cc08fbbe804c748
24,24,24,9,v1,9489cf5b9c3b7d0657384a2e6fbedff6
25,25,25,9,v1,30f90853bd0158a6aa5ececc2cb26c30
26,26,26,9,v1,e6d3920ddca8a9c2142efa5900e6e6ca
27,27,27,9,v1,293997359b273ffb6b123fc9411bd7e9
28,28,28,9,v1,96e2c2bdbf90a4eff93cf11d6751660b
29,29,29,9,v1,1197ba07e3f84047a657f19c9f803163
30,30,30,9,v1,e3b9f762f089c6b2b6b61d7c427c2f19
31,31,31,9,v1,13ed3baaab4decd0899c10254c2bfbbb
32,32,32,9,v1,b12bc942347b7314476584c6380a00b1
33,33,33,9,v1,91f9cf9fcce66d2244f5316f1c740c4b
34,34,34,9,v1,0cda3bfc8e770f331f0bc87baa152913
35,35,35,9,v1,6fb03511eeeeb0f1ca7adbefd6beb877
36,36,36,9,v1,b3a1cab77263d5b57dc687506adc9121
37,37,37,9,v1,530aeece77ca99572a4696ddda9a914b
38,38,38,9,v1,69e1685ab45d007cfa2448a7a00d3f6e
39,39,39,9,v1,045695da6f60fab17023b7dd70ddcf14
40,40,40,9,v1,658ba5759ebf1d049a96c3dd869a3bf2
41,41,41,9,v1,2840f63d528e369bbb7b02890672c50a
42,42,42,9,v1,4006ac9dbff16d9a33624677b6238b41
43,43,43,9,v1,6bde4982b5ae5877b5657a61296185c1
44,44,44,9,v1,5355f7508e32869577ffe3b91563be0a
45,45,45,9,v1,1ca48441a0274e273b986a73e74e1a9c
46,46,46,9,v1,5c5a3122877b92eb0c2fedf75929de47
47,47,47,9,v1,cae66fb2367a31040b63d12b0400349d
48,48,48,9,v1,ae8e4a4ee0360cb8a4d1a004dd8d7277
49,49,49,9,v1,3df11ab28d1c1a068dddc62647fa2f78
50,50,50,9,v1,a5c931816a78b352211f32e02f068ef9
51,51,51,9,v1,c614d24503f72790c0e51038ad0b767b
52,52,52,9,v1,bd1886f4928f1af2e41ea105aa5dc388
53,53,53,9,v1,98e8943008cbb05fdb9fecd23b939d42
54,54,54,9,v1,b196631fa764d3758c8e9ffed76fedce
55,55,55,9,v1,9c6de507503e378869fef4882911e951
56,56,56,9,v1,9da4f4744a592154d136d91960b595f5
57,57,57,9,v1,2a89d71c7ea5ad688a1bebb910a5a8c9
58,58,58,9,v1,690c5eb6a048f7926fa82a436da90024
59,59,59,9,v1,86e43014c59029405c6c4f67bcb7e83d
60,60,60,9,v1,8ece32450a94588555abfbda318795f0
61,61,61,9,v1,25a5d27a75dcdc8279b9d1d92c23e2e6
62,62,62,9,v1,ca829033258bb39483998495d4ce2222
63,63,63,9,v1,cdfce0425067f7ab3bb3d591af137d7e
64,64,64,9,v1,abeafac09249647f5b61749151f0a210
65,65,65,9,v1,e3b365ca6fdeb8a1ffc6828a91c528e7
66,66,66,9,v1,7c39ff5626e3d225c52f14f2c3486847
67,67,67,9,v1,3539abaea3802a43f12236a68662c601
