Conjunto,Digito,v1,v2
Entrenamiento,0,164,336
Entrenamiento,1,165,399
Entrenamiento,2,165,399
Entrenamiento,3,165,336
Entrenamiento,4,166,387
Entrenamiento,5,166,400
Entrenamiento,6,166,359
Entrenamiento,7,165,334
Entrenamiento,8,166,328
Entrenamiento,9,163,399
Validacion,0,21,42
Validacion,1,20,50
Validacion,2,20,50
Validacion,3,21,42
Validacion,4,20,49
Validacion,5,21,50
Validacion,6,20,45
Validacion,7,20,42
Validacion,8,21,41
Validacion,9,21,50
Prueba,0,20,42
Prueba,1,21,50
Prueba,2,21,50
Prueba,3,20,42
Prueba,4,21,48
Prueba,5,20,50
Prueba,6,21,45
Prueba,7,21,42
Prueba,8,21,41
Prueba,9,20,50
